[11956:23076:0421/120607.207:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[11956:23076:0421/120607.209:ERROR:persistent_memory_allocator.cc(908)] Corruption detected in shared-memory segment.
[11956:22248:0421/120607.246:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[11956:23076:0421/120607.258:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[21108:24604:0421/120610.324:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-120B7D76A73C106FE87FC1C4A338C6A1 will be ignored
[23228:12004:0421/120735.760:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 7-B74E4BCDA710F94CD6DBA03E397CD741 will be ignored
[11956:23076:0421/150414.099:VERBOSE1:device_event_log_impl.cc(198)] [15:04:14.100] Display: EVENT: screen_win.cc:893 Displays updated, count: 1
[11956:21492:0421/150542.915:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=65})
[11956:21492:0421/150543.915:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=64})
[11956:21492:0421/150544.903:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=66})
[11956:21492:0421/150545.905:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=68})
[11956:21492:0421/150546.915:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=69})
[11956:21492:0421/150547.915:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=68})
[11956:21492:0421/150549.916:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=69})
[11956:21492:0421/150550.915:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=70})
[11956:21492:0421/150552.916:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=71})
[11956:21492:0421/150553.916:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=72})
[11956:21492:0421/150554.916:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=71})
[11956:21492:0421/150559.917:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=72})
[11956:21492:0421/150603.955:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=73})
[11956:21492:0421/150604.916:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=74})
[11956:21492:0421/150606.916:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=73})
[11956:21492:0421/150608.927:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=72})
[11956:21492:0421/150610.927:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=70})
[11956:21492:0421/150611.932:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=68})
[11956:21492:0421/150612.932:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=67})
[11956:21492:0421/150613.931:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=63})
[11956:21492:0421/150614.919:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=60})
[11956:21492:0421/150615.927:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=58})
[11956:21492:0421/150616.935:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=56})
[11956:21492:0421/150617.935:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=55})
[11956:21492:0421/150618.938:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=53})
[11956:21492:0421/150619.935:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=49})
[11956:21492:0421/150621.927:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=50})
[11956:21492:0421/150624.928:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=52})
[11956:21492:0421/150625.928:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=51})
[11956:21492:0421/150626.928:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=52})
[11956:21492:0421/150627.936:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=53})
[11956:21492:0421/150628.931:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=54})
[11956:21492:0421/150629.936:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=57})
[11956:21492:0421/150635.944:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=58})
[11956:21492:0421/150637.936:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=60})
[11956:21492:0421/150638.936:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=61})
[11956:21492:0421/150639.940:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=62})
[11956:21492:0421/150640.937:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=63})
[11956:21492:0421/150641.936:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=64})
[11956:21492:0421/150642.940:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=66})
[11956:21492:0421/150643.946:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=68})
[11956:21492:0421/150644.945:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=69})
[11956:21492:0421/150646.946:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=71})
[11956:21492:0421/150652.954:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=72})
[11956:21492:0421/150653.954:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=73})
[11956:21492:0421/150655.949:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=75})
[11956:21492:0421/150656.949:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=74})
[11956:21492:0421/150659.958:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=76})
[11956:21492:0421/150701.954:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=77})
[11956:21492:0421/150703.954:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=75})
[11956:21492:0421/150705.954:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=74})
[11956:21492:0421/150706.955:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=75})
[11956:21492:0421/150708.972:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=74})
[11956:21492:0421/150709.971:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=72})
[11956:21492:0421/150713.967:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=71})
[11956:21492:0421/150714.969:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=70})
[11956:21492:0421/150715.973:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=68})
[11956:21492:0421/150716.972:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=66})
[11956:21492:0421/150717.970:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=65})
[11956:21492:0421/150718.972:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=64})
[11956:21492:0421/150719.979:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=63})
[11956:21492:0421/150720.966:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=61})
[11956:21492:0421/150721.971:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=58})
[11956:21492:0421/150722.978:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=57})
[11956:21492:0421/150723.980:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=56})
[11956:21492:0421/150725.984:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=55})
[11956:21492:0421/150726.974:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=56})
[11956:21492:0421/150727.977:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=55})
[11956:21492:0421/150728.986:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=56})
[11956:21492:0421/150735.992:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=57})
[11956:21492:0421/150736.980:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=56})
[22652:9392:0421/150739.055:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://optimizationguide-pa.googleapis.com/v1:GetModels?key=dummytoken
[22652:9392:0421/150739.074:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[22652:9392:0421/150739.075:VERBOSE1:tls_handshaker.cc(126)] TlsClient: SSL_do_handshake returned when entering early data. After retry, rv=-1, SSL_in_early_data=1
[22652:9392:0421/150739.113:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[22652:9392:0421/150739.113:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[22652:9392:0421/150739.113:VERBOSE1:tls_client_handshaker.cc(528)] Client: handshake finished
[11956:21492:0421/150739.989:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=55})
[11956:21492:0421/150744.984:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=58})
[11956:21492:0421/150750.995:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=59})
[11956:21492:0421/150755.006:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=57})
[11956:21492:0421/150802.005:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=58})
[11956:21492:0421/150803.004:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=60})
[11956:21492:0421/150804.004:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=62})
[11956:21492:0421/150805.004:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=63})
[11956:21492:0421/150806.007:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=64})
[11956:21492:0421/150807.010:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=65})
[11956:21492:0421/150808.009:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=66})
[11956:21492:0421/150809.010:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=68})
[11956:21492:0421/150810.016:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=69})
[11956:21492:0421/150811.032:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000AF40015ED40}, {new_limit=70})
